iter	Passed	Remaining
399	25183	37775
400	25251	37719
401	25316	37660
402	25369	37581
403	25435	37524
404	25507	37474
405	25563	37400
406	25636	37352
407	25714	37311
408	25781	37253
409	25859	37212
410	25924	37152
411	25995	37100
412	26068	37051
413	26127	36982
414	26189	36917
415	26248	36848
416	26323	36801
417	26400	36757
418	26490	36732
419	26577	36702
420	26623	36615
421	26682	36545
422	26760	36503
423	26838	36459
424	26909	36406
425	26984	36359
426	27058	36310
427	27126	36253
428	27199	36202
429	27269	36147
430	27332	36083
431	27387	36009
432	27448	35943
433	27510	35877
434	27579	35821
435	27644	35760
436	27703	35691
437	27762	35621
438	27829	35562
439	27899	35508
440	27952	35431
441	28033	35390
442	28115	35350
443	28186	35296
444	28256	35240
445	28336	35197
446	28399	35134
447	28455	35061
448	28521	35000
449	28593	34947
450	28630	34851
451	28683	34776
452	28730	34692
453	28800	34636
454	28866	34576
455	28924	34506
456	28991	34447
457	29061	34391
458	29134	34339
459	29195	34272
460	29270	34222
461	29336	34162
462	29398	34097
463	29466	34039
464	29524	33969
465	29598	33917
466	29667	33860
467	29737	33804
468	29810	33751
469	29880	33695
470	29977	33668
471	30046	33610
472	30131	33570
473	30208	33522
474	30288	33476
475	30329	33387
476	30392	33323
477	30459	33263
478	30527	33204
479	30599	33149
480	30666	33089
481	30728	33023
482	30799	32967
483	30863	32904
484	30925	32838
485	30984	32770
486	31042	32699
487	31121	32651
488	31191	32594
489	31255	32531
490	31311	32458
491	31381	32402
492	31464	32358
493	31527	32293
494	31594	32232
495	31656	32167
496	31715	32098
497	31752	32007
498	31804	31931
499	31858	31858
500	31917	31789
501	31973	31719
502	32029	31647
503	32096	31587
504	32166	31529
505	32234	31470
506	32280	31389
507	32346	31327
508	32407	31261
509	32445	31173
510	32511	31111
511	32584	31057
512	32647	30992
513	32702	30921
514	32764	30856
515	32829	30793
516	32897	30734
517	32959	30669
518	33022	30604
519	33076	30532
520	33119	30449
521	33183	30386
522	33226	30304
523	33276	30227
524	33313	30141
525	33361	30063
526	33400	29978
527	33457	29909
528	33522	29846
529	33576	29775
530	33650	29721
531	33727	29669
532	33787	29603
533	33853	29542
534	33926	29487
535	34003	29436
536	34067	29372
537	34127	29306
538	34186	29239
539	34273	29196
540	34355	29148
541	34427	29091
542	34504	29039
543	34561	28970
544	34627	28909
545	34699	28853
546	34765	28791
547	34841	28737
548	34920	28686
549	34987	28626
550	35055	28566
551	35138	28517
552	35206	28458
553	35272	28395
554	35345	28339
555	35427	28291
556	35505	28238
557	35580	28183
558	35662	28134
559	35747	28087
560	35817	28028
561	35898	27978
562	35974	27923
563	36043	27863
564	36112	27803
565	36179	27741
566	36227	27665
567	36290	27601
568	36352	27535
569	36416	27471
570	36480	27408
571	36533	27336
572	36617	27287
573	36689	27229
574	36755	27166
575	36817	27101
576	36874	27032
577	36941	26970
578	37000	26903
579	37070	26844
580	37137	26782
581	37194	26713
582	37252	26645
583	37322	26585
584	37386	26522
585	37453	26460
586	37522	26399
587	37591	26339
588	37662	26280
589	37735	26222
590	37818	26172
591	37898	26119
592	37975	26064
593	38045	26003
594	38104	25936
595	38161	25867
596	38235	25810
597	38322	25762
598	38401	25707
599	38473	25648
600	38550	25593
601	38615	25529
602	38677	25464
603	38750	25405
604	38827	25350
605	38904	25294
606	38974	25233
607	39061	25184
608	39152	25137
609	39203	25064
610	39269	25001
611	39345	24944
612	39418	24885
613	39460	24807
614	39527	24745
615	39589	24678
616	39654	24615
617	39718	24551
618	39799	24496
619	39884	24445
620	39968	24392
621	40041	24333
622	40127	24282
623	40211	24230
624	40295	24177
625	40367	24117
626	40440	24057
627	40498	23989
628	40558	23922
629	40621	23857
630	40691	23796
631	40756	23731
632	40810	23661
633	40874	23596
634	40932	23528
635	40991	23460
636	41039	23386
637	41104	23322
638	41170	23259
639	41230	23192
640	41298	23129
641	41355	23061
642	41410	22991
643	41457	22917
644	41524	22854
645	41590	22791
646	41681	22741
647	41782	22696
648	41872	22645
649	41962	22595
650	42013	22523
651	42095	22467
652	42169	22408
653	42245	22350
654	42310	22285
655	42374	22220
656	42441	22157
657	42518	22099
658	42604	22045
659	42681	21987
660	42762	21931
661	42837	21871
662	42919	21815
663	42989	21753
664	43057	21690
665	43123	21626
666	43184	21559
667	43253	21497
668	43311	21429
669	43380	21366
670	43450	21304
671	43534	21249
672	43613	21191
673	43689	21131
674	43756	21068
675	43830	21007
676	43883	20937
677	43959	20877
678	44041	20820
679	44124	20764
680	44203	20706
681	44287	20650
682	44367	20592
683	44435	20528
684	44528	20476
685	44607	20417
686	44677	20355
687	44757	20297
688	44836	20238
689	44915	20179
690	44999	20122
691	45064	20057
692	45144	19999
693	45215	19936
694	45287	19874
695	45348	19807
696	45424	19747
697	45494	19683
698	45580	19627
699	45670	19573
700	45763	19519
701	45844	19460
702	45902	19392
703	45963	19325
704	46041	19265
705	46104	19199
706	46166	19132
707	46226	19065
708	46297	19002
709	46360	18935
710	46424	18870
711	46510	18813
712	46582	18750
713	46658	18689
714	46727	18625
715	46795	18561
716	46849	18491
717	46909	18424
718	46991	18365
719	47079	18308
720	47165	18251
721	47244	18190
722	47320	18129
723	47395	18067
724	47460	18002
725	47525	17936
726	47592	17871
727	47663	17808
728	47737	17745
729	47802	17680
730	47864	17613
731	47933	17549
732	48010	17488
733	48092	17428
734	48179	17371
735	48261	17311
736	48326	17245
737	48397	17181
738	48455	17113
739	48508	17043
740	48566	16975
741	48630	16909
742	48697	16844
743	48740	16770
744	48807	16705
745	48874	16641
746	48947	16577
747	49013	16512
748	49068	16443
749	49134	16378
750	49212	16316
751	49271	16249
752	49343	16185
753	49404	16118
754	49454	16048
755	49505	15978
756	49579	15915
757	49642	15849
758	49710	15784
759	49774	15718
760	49840	15652
761	49902	15586
762	49953	15516
763	49997	15444
764	50062	15378
765	50139	15316
766	50204	15251
767	50270	15185
768	50345	15123
769	50416	15059
770	50491	14996
771	50550	14929
772	50608	14861
773	50686	14799
774	50762	14737
775	50823	14670
776	50904	14609
777	50964	14542
778	51023	14475
779	51085	14408
780	51164	14346
781	51234	14282
782	51301	14217
783	51359	14150
784	51424	14084
785	51489	14018
786	51550	13951
787	51616	13886
788	51681	13821
789	51740	13753
790	51813	13690
791	51872	13622
792	51935	13556
793	51982	13486
794	52038	13418
795	52102	13352
796	52167	13287
797	52244	13224
798	52314	13160
799	52375	13093
800	52449	13030
801	52524	12967
802	52616	12908
803	52693	12845
804	52778	12784
805	52846	12719
806	52918	12655
807	52994	12592
808	53074	12530
809	53157	12469
810	53264	12413
811	53381	12359
812	53464	12297
813	53563	12239
814	53663	12181
815	53743	12118
816	53834	12058
817	53915	11995
818	53987	11931
819	54064	11867
820	54141	11804
821	54205	11737
822	54279	11673
823	54356	11610
824	54428	11545
825	54510	11482
826	54595	11420
827	54675	11357
828	54754	11294
829	54834	11231
830	54922	11169
831	54996	11105
832	55072	11040
833	55153	10977
834	55204	10908
835	55277	10843
836	55367	10782
837	55441	10717
838	55518	10653
839	55599	10590
840	55657	10522
841	55729	10457
842	55796	10391
843	55858	10324
844	55941	10261
845	56012	10196
846	56065	10127
847	56158	10066
848	56230	10000
849	56284	9932
850	56360	9868
851	56441	9804
852	56513	9739
853	56592	9674
854	56667	9610
855	56739	9545
856	56799	9477
857	56861	9410
858	56923	9343
859	56995	9278
860	57065	9212
861	57144	9148
862	57221	9083
863	57295	9018
864	57385	8956
865	57445	8888
866	57528	8824
867	57606	8760
868	57662	8692
869	57717	8624
870	57789	8558
871	57872	8495
872	57953	8430
873	58014	8363
874	58071	8295
875	58156	8232
876	58238	8167
877	58315	8103
878	58386	8037
879	58469	7973
880	58555	7909
881	58638	7845
882	58701	7778
883	58759	7710
884	58814	7642
885	58874	7575
886	58950	7510
887	59011	7442
888	59078	7376
889	59159	7311
890	59233	7246
891	59303	7180
892	59390	7116
893	59475	7051
894	59547	6986
895	59617	6919
896	59698	6855
897	59765	6788
898	59828	6721
899	59889	6654
900	59966	6588
901	60040	6523
902	60115	6457
903	60202	6393
904	60277	6327
905	60351	6261
906	60442	6197
907	60526	6132
908	60606	6067
909	60682	6001
910	60750	5935
911	60824	5869
912	60899	5803
913	60957	5735
914	61028	5669
915	61102	5603
916	61179	5537
917	61265	5472
918	61344	5406
919	61419	5340
920	61511	5276
921	61599	5211
922	61699	5147
923	61785	5081
924	61865	5016
925	61965	4951
926	62043	4885
927	62125	4820
928	62195	4753
929	62272	4687
930	62351	4621
931	62441	4555
932	62529	4490
933	62615	4424
934	62734	4361
935	62815	4295
936	62900	4229
937	62977	4162
938	63058	4096
939	63151	4030
940	63211	3963
941	63292	3896
942	63364	3830
943	63446	3763
944	63540	3698
945	63593	3630
946	63665	3563
947	63716	3495
948	63794	3428
949	63866	3361
950	63926	3293
951	64002	3227
952	64071	3159
953	64159	3093
954	64247	3027
955	64331	2960
956	64404	2893
957	64457	2825
958	64526	2758
959	64596	2691
960	64668	2624
961	64730	2556
962	64811	2490
963	64878	2422
964	64965	2356
965	65055	2289
966	65114	2222
967	65171	2154
968	65219	2086
969	65272	2018
970	65318	1950
971	65375	1883
972	65446	1816
973	65525	1749
974	65618	1682
975	65699	1615
976	65782	1548
977	65852	1481
978	65922	1414
979	65993	1346
980	66069	1279
981	66132	1212
982	66208	1145
983	66292	1077
984	66376	1010
985	66458	943
986	66517	876
987	66591	808
988	66735	742
989	66820	674
990	66892	607
991	66973	540
992	67055	472
993	67150	405
994	67243	337
995	67324	270
996	67398	202
997	67472	135
998	67523	67
999	67610	0
