iter	RMSE
348	3948.898962
349	3946.523604
350	3944.219164
351	3942.821465
352	3941.728597
353	3940.695656
354	3939.376798
355	3938.395772
356	3937.747351
357	3936.720284
358	3935.883696
359	3934.786124
360	3934.420404
361	3933.458656
362	3932.412207
363	3928.329676
364	3927.535223
365	3927.077146
366	3925.482637
367	3923.804182
368	3922.999544
369	3920.876203
370	3920.073712
371	3919.364821
372	3918.01809
373	3916.813968
374	3915.544093
375	3914.128969
376	3911.730793
377	3909.618354
378	3907.871398
379	3906.702136
380	3905.68757
381	3905.040199
382	3904.502325
383	3903.969934
384	3903.664255
385	3902.827986
386	3901.759637
387	3899.927084
388	3898.742991
389	3897.743716
390	3895.605622
391	3894.453639
392	3894.142805
393	3893.668799
394	3891.995755
395	3890.957212
396	3890.426242
397	3889.680562
398	3888.863408
399	3888.211628
400	3886.915824
401	3885.860489
402	3885.20071
403	3884.552468
404	3883.800957
405	3883.665657
406	3882.938266
407	3881.825735
408	3881.260504
409	3880.232536
410	3879.513742
411	3879.075197
412	3878.601877
413	3877.638
414	3876.328131
415	3874.662038
416	3874.224655
417	3873.470303
418	3871.324974
419	3870.358341
420	3869.896255
421	3869.352457
422	3868.996165
423	3867.942977
424	3867.394145
425	3866.548746
426	3866.18297
427	3865.91227
428	3864.682532
429	3864.095569
430	3862.499223
431	3862.077048
432	3860.981342
433	3859.529555
434	3859.05446
435	3858.53992
436	3857.819982
437	3857.256098
438	3856.295724
439	3854.232421
440	3853.406918
441	3852.827667
442	3851.564945
443	3850.492854
444	3849.747447
445	3848.756889
446	3847.968864
447	3846.951591
448	3845.799672
449	3845.102338
450	3843.840318
451	3843.095487
452	3842.437551
453	3841.8811
454	3840.910423
455	3840.570392
456	3840.427585
457	3839.507458
458	3838.524357
459	3837.37756
460	3836.255683
461	3835.791636
462	3834.940889
463	3834.571294
464	3833.284587
465	3832.773148
466	3832.395637
467	3831.226877
468	3830.324147
469	3829.786125
470	3828.779783
471	3828.477745
472	3827.672565
473	3827.075754
474	3825.473395
475	3823.326093
476	3822.705868
477	3821.463425
478	3821.313431
479	3820.583728
480	3819.798294
481	3819.662935
482	3818.742955
483	3818.021858
484	3817.388239
485	3816.248682
486	3816.159512
487	3815.358694
488	3813.945684
489	3813.001537
490	3812.134046
491	3811.727547
492	3810.860447
493	3810.488384
494	3809.546483
495	3809.114889
496	3808.235639
497	3807.514849
498	3806.433626
499	3806.249534
500	3806.055186
501	3805.347017
502	3804.554435
503	3804.138129
504	3803.092315
505	3801.629678
506	3800.963659
507	3800.103271
508	3799.814034
509	3799.249463
510	3797.809418
511	3796.009544
512	3793.336746
513	3793.156777
514	3791.760608
515	3791.31201
516	3790.737717
517	3790.338524
518	3790.028384
519	3789.585153
520	3789.351265
521	3788.112215
522	3787.727324
523	3787.231523
524	3786.774452
525	3784.950548
526	3784.52922
527	3782.773748
528	3781.441041
529	3781.210192
530	3780.500691
531	3779.059378
532	3777.926228
533	3777.227428
534	3776.309164
535	3775.34672
536	3775.085583
537	3774.421711
538	3772.726528
539	3770.972526
540	3770.632887
541	3770.012575
542	3768.696942
543	3768.013282
544	3767.435897
545	3766.188362
546	3765.542799
547	3764.164546
548	3763.660742
549	3762.394443
550	3762.173412
551	3761.934167
552	3761.051955
553	3760.523742
554	3759.234914
555	3758.64432
556	3757.575515
557	3756.818788
558	3755.79792
559	3754.084865
560	3754.067736
561	3753.296228
562	3752.689951
563	3752.464253
564	3750.860983
565	3748.585508
566	3748.038338
567	3747.243536
568	3746.590001
569	3745.932534
570	3745.070021
571	3744.168145
572	3743.627802
573	3743.295346
574	3742.617502
575	3742.056469
576	3741.732794
577	3741.705791
578	3740.687939
579	3740.500606
580	3739.9762
581	3739.387934
582	3739.083947
583	3738.413547
584	3737.79274
585	3737.386931
586	3736.503093
587	3736.054093
588	3735.785119
589	3735.20812
590	3734.171464
591	3732.404355
592	3731.423593
593	3730.6396
594	3729.704546
595	3729.164794
596	3728.470204
597	3725.189717
598	3724.294282
599	3723.919979
600	3721.207921
601	3720.791294
602	3719.906908
603	3719.273469
604	3719.050696
605	3718.634905
606	3718.380214
607	3717.768051
608	3716.231762
609	3716.134169
610	3715.449155
611	3714.995299
612	3714.401172
613	3713.348952
614	3713.089367
615	3711.883819
616	3711.452113
617	3710.480225
618	3710.148624
619	3708.718242
620	3708.202518
621	3707.137665
622	3706.221296
623	3705.855407
624	3705.048977
625	3704.789479
626	3703.353321
627	3703.075616
628	3702.413008
629	3702.015716
630	3701.379596
631	3700.772073
632	3700.719517
633	3699.73512
634	3699.183118
635	3698.527438
636	3698.090636
637	3697.731824
638	3697.207035
639	3696.87946
640	3695.460821
641	3694.824349
642	3693.761868
643	3693.090861
644	3692.733086
645	3691.841445
646	3691.584678
647	3690.835929
648	3689.626999
649	3689.41372
650	3689.300474
651	3688.68649
652	3687.676002
653	3687.268743
654	3686.546252
655	3686.442959
656	3685.632694
657	3685.131128
658	3684.309187
659	3683.301611
660	3682.14913
661	3681.593651
662	3681.112478
663	3680.704372
664	3680.37424
665	3680.030346
666	3679.590498
667	3678.907902
668	3678.485169
669	3677.803538
670	3676.998718
671	3676.65909
672	3676.035057
673	3675.001979
674	3674.542961
675	3673.404145
676	3672.790429
677	3671.722029
678	3668.744519
679	3667.448361
680	3666.749605
681	3665.561943
682	3665.048907
683	3664.044213
684	3661.5355
685	3660.965104
686	3660.753191
687	3659.913542
688	3659.424312
689	3658.002158
690	3657.523064
691	3657.17073
692	3656.958106
693	3656.199207
694	3655.415915
695	3655.126435
696	3654.761299
697	3653.874908
698	3653.353096
699	3652.43876
700	3651.638899
701	3651.138303
702	3650.883561
703	3650.099144
704	3649.534475
705	3649.23336
706	3649.016453
707	3647.125008
708	3646.295468
709	3645.723028
710	3645.310855
711	3644.854386
712	3644.250942
713	3643.659033
714	3643.321506
715	3643.077541
716	3642.795295
717	3642.668614
718	3641.593196
719	3640.722337
720	3640.363234
721	3639.927831
722	3639.040378
723	3637.493794
724	3636.977608
725	3635.816529
726	3635.52895
727	3634.488467
728	3633.848012
729	3633.569894
730	3631.494987
731	3630.738028
732	3630.11787
733	3628.967395
734	3628.234946
735	3627.786883
736	3627.613007
737	3627.203063
738	3626.414378
739	3626.137858
740	3625.773245
741	3625.193654
742	3624.605709
743	3624.270922
744	3623.777327
745	3623.455271
746	3622.308507
747	3621.293217
748	3620.595188
749	3619.709698
750	3619.313282
751	3618.811217
752	3618.089632
753	3617.835239
754	3617.303025
755	3617.015675
756	3616.394279
757	3615.857105
758	3614.962196
759	3613.78187
760	3613.393185
761	3612.551103
762	3612.149201
763	3611.959435
764	3611.483873
765	3611.21561
766	3610.826729
767	3610.011672
768	3609.155461
769	3608.510296
770	3607.542645
771	3607.524177
772	3607.139416
773	3606.41841
774	3605.862661
775	3605.435358
776	3603.471317
777	3603.461527
778	3602.848032
779	3602.128997
780	3601.772538
781	3601.688009
782	3601.106438
783	3600.232892
784	3599.595192
785	3599.382122
786	3599.1144
787	3598.552756
788	3597.889152
789	3596.374067
790	3595.957249
791	3595.783042
792	3595.679503
793	3595.601803
794	3594.817569
795	3594.447614
796	3592.99072
797	3592.43089
798	3592.189999
799	3592.057693
800	3591.50382
801	3590.964811
802	3590.77093
803	3590.121866
804	3589.776724
805	3589.590481
806	3589.411387
807	3589.309941
808	3589.079997
809	3588.621611
810	3588.233749
811	3587.845634
812	3587.486346
813	3587.140322
814	3585.336759
815	3584.846828
816	3584.42839
817	3583.667756
818	3583.115295
819	3582.595144
820	3582.18892
821	3581.84753
822	3580.866077
823	3580.521053
824	3579.349066
825	3578.615067
826	3578.359575
827	3577.512905
828	3577.289539
829	3577.12105
830	3576.557756
831	3576.028248
832	3575.421067
833	3574.975544
834	3574.922651
835	3574.422067
836	3573.931502
837	3572.711867
838	3572.023164
839	3571.551414
840	3571.543769
841	3571.086952
842	3570.800745
843	3569.087425
844	3568.252639
845	3567.598877
846	3567.556661
847	3567.390723
848	3566.81187
849	3566.697712
850	3566.533607
851	3566.282715
852	3566.184908
853	3565.964117
854	3565.829957
855	3565.711916
856	3565.594407
857	3565.363673
858	3565.219068
859	3564.932187
860	3563.881094
861	3563.54772
862	3563.375628
863	3563.032986
864	3562.236955
865	3561.480995
866	3560.074578
867	3559.44536
868	3559.340826
869	3558.601034
870	3558.314357
871	3558.028073
872	3557.753543
873	3557.667226
874	3557.217527
875	3556.954265
876	3556.519675
877	3556.370348
878	3556.240877
879	3555.666584
880	3554.726245
881	3553.724673
882	3553.698073
883	3552.904963
884	3552.570166
885	3552.327022
886	3552.120356
887	3551.268775
888	3550.826649
889	3550.492432
890	3550.170106
891	3549.890757
892	3548.729214
893	3548.487676
894	3548.128805
895	3548.053464
896	3547.751993
897	3547.612622
898	3546.90617
899	3546.344641
900	3545.838084
901	3545.197662
902	3544.518164
903	3544.332057
904	3543.53282
905	3542.901801
906	3542.712547
907	3542.488942
908	3542.243794
909	3541.071053
910	3540.687189
911	3540.121912
912	3539.697368
913	3539.346968
914	3538.831826
915	3538.520483
916	3538.324352
917	3537.239757
918	3536.766525
919	3536.48698
920	3535.900407
921	3535.707232
922	3535.305752
923	3534.262798
924	3533.971859
925	3533.652698
926	3533.495312
927	3533.125684
928	3532.651952
929	3531.807837
930	3531.130813
931	3530.420405
932	3530.123701
933	3530.005315
934	3529.533986
935	3529.487591
936	3528.669501
937	3528.607186
938	3528.105091
939	3527.957905
940	3527.888932
941	3527.706824
942	3527.56937
943	3527.325464
944	3527.18292
945	3527.002938
946	3526.054726
947	3525.913073
948	3525.184738
949	3524.361602
950	3523.992062
951	3522.985928
952	3522.721475
953	3522.554717
954	3521.11228
955	3520.222999
956	3519.676652
957	3519.366714
958	3518.865092
959	3517.716353
960	3517.502652
961	3517.459276
962	3516.945806
963	3516.898652
964	3516.600432
965	3516.440188
966	3516.284658
967	3516.076188
968	3516.075151
969	3515.697913
970	3515.641478
971	3515.342224
972	3514.840135
973	3514.329599
974	3514.129949
975	3513.85614
976	3513.163876
977	3512.744579
978	3512.168687
979	3512.029863
980	3511.905973
981	3511.714427
982	3511.332549
983	3510.729474
984	3510.496707
985	3509.77786
986	3509.350899
987	3507.87927
988	3507.724788
989	3507.312213
990	3506.948541
991	3506.47283
992	3506.39913
993	3505.683282
994	3505.380418
995	3504.931308
996	3504.859614
997	3504.237973
998	3503.855012
999	3503.106972
